datetime_utc,dry_bulb_c
1987-01-10T10:50:00.000000+0000,-8.0
1987-01-10T11:50:00.000000+0000,-8.0
1987-01-10T12:50:00.000000+0000,-9.0
1987-01-10T13:50:00.000000+0000,-9.0
1987-01-11T15:50:00.000000+0000,-4.0
1987-01-11T17:50:00.000000+0000,-4.0
1987-01-12T06:50:00.000000+0000,-2.0
1987-01-12T07:50:00.000000+0000,-2.0
1987-01-12T08:50:00.000000+0000,-2.0
1987-01-12T10:50:00.000000+0000,-2.0
1987-01-12T11:50:00.000000+0000,-2.0
1987-01-12T12:50:00.000000+0000,-1.0
1987-01-12T13:45:00.000000+0000,-1.0
1987-01-12T14:45:00.000000+0000,-1.0
1987-01-12T15:45:00.000000+0000,-1.0
1987-01-12T16:45:00.000000+0000,0.0
1987-01-12T17:45:00.000000+0000,0.0
1987-01-12T18:45:00.000000+0000,0.0
1987-01-13T06:45:00.000000+0000,2.0
1987-01-13T07:45:00.000000+0000,2.0
1987-01-13T09:45:00.000000+0000,3.0
1987-01-13T11:45:00.000000+0000,3.0
1987-01-13T12:45:00.000000+0000,3.0
1987-01-13T13:50:00.000000+0000,3.0
1987-01-13T14:50:00.000000+0000,3.0
1987-01-13T15:50:00.000000+0000,3.0
1987-01-13T16:50:00.000000+0000,2.0
1987-01-13T17:50:00.000000+0000,2.0
1987-01-13T18:50:00.000000+0000,2.0
1987-01-14T06:20:00.000000+0000,2.0
1987-01-14T07:50:00.000000+0000,3.0
1987-01-14T14:50:00.000000+0000,2.0
1987-01-14T16:50:00.000000+0000,3.0
1987-01-14T17:50:00.000000+0000,3.0
1987-01-15T06:45:00.000000+0000,4.0
1987-01-15T08:45:00.000000+0000,4.0
1987-01-15T10:45:00.000000+0000,4.0
1987-01-15T11:45:00.000000+0000,
1987-01-15T12:45:00.000000+0000,4.0
1987-01-15T13:50:00.000000+0000,3.0
1987-01-15T15:50:00.000000+0000,3.0
1987-01-15T17:50:00.000000+0000,3.0
1987-01-15T18:50:00.000000+0000,3.0
1987-01-16T06:50:00.000000+0000,4.0
1987-01-16T07:50:00.000000+0000,4.0
1987-01-16T08:50:00.000000+0000,4.0
1987-01-16T09:50:00.000000+0000,4.0
1987-01-16T10:50:00.000000+0000,4.0
1987-01-16T11:50:00.000000+0000,4.0
1987-01-16T13:50:00.000000+0000,4.0
1987-01-16T15:50:00.000000+0000,3.0
1987-01-16T16:50:00.000000+0000,3.0
1987-01-16T17:50:00.000000+0000,3.0
1987-01-16T18:50:00.000000+0000,3.0
1987-01-17T06:45:00.000000+0000,3.0
1987-01-17T07:45:00.000000+0000,2.0
1987-01-17T08:45:00.000000+0000,2.0
1987-01-17T10:45:00.000000+0000,3.0
1987-01-17T11:45:00.000000+0000,2.0
1987-01-17T12:45:00.000000+0000,3.0
1987-01-17T13:45:00.000000+0000,3.0
1987-01-18T14:45:00.000000+0000,6.0
1987-01-18T15:45:00.000000+0000,5.0
1987-01-18T17:45:00.000000+0000,5.0
1987-01-19T06:45:00.000000+0000,4.0
1987-01-19T07:45:00.000000+0000,4.0
1987-01-19T09:45:00.000000+0000,4.0
1987-01-19T10:45:00.000000+0000,4.0
1987-01-19T12:45:00.000000+0000,4.0
1987-01-19T13:50:00.000000+0000,4.0
1987-01-19T14:50:00.000000+0000,4.0
1987-01-19T17:50:00.000000+0000,4.0
1987-01-19T18:50:00.000000+0000,4.0
1987-01-20T06:50:00.000000+0000,4.0
1987-01-20T07:50:00.000000+0000,5.0
1987-01-20T10:50:00.000000+0000,4.0
1987-01-20T11:50:00.000000+0000,4.0
1987-01-20T12:50:00.000000+0000,3.0
1987-01-20T13:45:00.000000+0000,4.0
1987-01-20T14:45:00.000000+0000,2.0
1987-01-20T15:45:00.000000+0000,4.0
1987-01-20T16:45:00.000000+0000,3.0
1987-01-21T06:45:00.000000+0000,3.0
1987-01-21T08:45:00.000000+0000,3.0
1987-01-21T14:45:00.000000+0000,4.0
1987-01-21T15:45:00.000000+0000,3.0
1987-01-22T06:50:00.000000+0000,0.0
1987-01-22T09:50:00.000000+0000,0.0
1987-01-22T12:50:00.000000+0000,0.0
1987-01-22T13:45:00.000000+0000,0.0
1987-01-22T14:45:00.000000+0000,0.0
1987-01-22T15:45:00.000000+0000,0.0
1987-01-22T16:45:00.000000+0000,0.0
1987-01-22T18:45:00.000000+0000,0.0
1987-01-23T07:50:00.000000+0000,1.0
1987-01-23T08:50:00.000000+0000,1.0
1987-01-23T09:50:00.000000+0000,1.0
1987-01-23T10:50:00.000000+0000,1.0
1987-01-23T12:50:00.000000+0000,1.0
1987-01-23T14:45:00.000000+0000,1.0
1987-01-23T15:45:00.000000+0000,2.0
1987-01-23T16:45:00.000000+0000,2.0
1987-01-23T17:45:00.000000+0000,3.0
